user_id,R,F,M,RFM_total,segment
100509623上海市,999.0,0.0,7,10,潜力用户
100509623云南省,999.0,0.0,13,11,潜力用户
100509623内蒙古自治区,999.0,0.0,7,10,潜力用户
100509623北京市,999.0,0.0,5,10,潜力用户
100509623台湾省,999.0,0.0,8,11,潜力用户
100509623吉林省,999.0,0.0,11,11,潜力用户
100509623四川省,999.0,0.0,2,8,新用户
100509623天津市,999.0,0.0,10,11,潜力用户
100509623宁夏回族自治区,999.0,0.0,10,11,潜力用户
100509623安徽省,999.0,0.0,12,11,潜力用户
100509623山东省,999.0,0.0,12,11,潜力用户
100509623山西省,8.0,1.0,14,15,高价值用户
100509623广东省,999.0,0.0,6,10,潜力用户
100509623广西壮族自治区,999.0,0.0,13,11,潜力用户
100509623新疆维吾尔自治区,999.0,0.0,5,10,潜力用户
100509623江苏省,999.0,0.0,10,11,潜力用户
100509623江西省,999.0,0.0,9,11,潜力用户
100509623河北省,999.0,0.0,16,11,潜力用户
100509623河南省,999.0,0.0,9,11,潜力用户
100509623浙江省,999.0,0.0,4,9,新用户
100509623海南省,999.0,0.0,9,11,潜力用户
100509623湖北省,999.0,0.0,12,11,潜力用户
100509623湖南省,999.0,0.0,5,10,潜力用户
100509623澳门特别行政区,999.0,0.0,13,11,潜力用户
100509623甘肃省,999.0,0.0,6,10,潜力用户
100509623福建省,999.0,0.0,10,11,潜力用户
100509623西藏自治区,999.0,0.0,9,11,潜力用户
100509623贵州省,999.0,0.0,16,11,潜力用户
100509623辽宁省,999.0,0.0,4,9,新用户
100509623重庆市,999.0,0.0,12,11,潜力用户
100509623陕西省,999.0,0.0,9,11,潜力用户
100509623青海省,6.0,2.0,17,15,高价值用户
100509623香港特别行政区,6.0,1.0,13,15,高价值用户
100509623黑龙江省,999.0,0.0,10,11,潜力用户
100684618上海市,999.0,0.0,2,8,新用户
100684618云南省,999.0,0.0,2,8,新用户
100684618内蒙古自治区,999.0,0.0,2,8,新用户
100684618北京市,999.0,0.0,3,9,新用户
100684618台湾省,999.0,0.0,2,8,新用户
100684618吉林省,999.0,0.0,4,9,新用户
100684618四川省,999.0,0.0,6,10,潜力用户
100684618天津市,999.0,0.0,2,8,新用户
100684618宁夏回族自治区,999.0,0.0,3,9,新用户
100684618山东省,999.0,0.0,3,9,新用户
100684618山西省,25.0,1.0,12,15,高价值用户
100684618广东省,6.0,1.0,10,15,高价值用户
100684618广西壮族自治区,999.0,0.0,2,8,新用户
100684618新疆维吾尔自治区,999.0,0.0,1,7,新用户
100684618江苏省,999.0,0.0,6,10,潜力用户
100684618江西省,999.0,0.0,4,9,新用户
100684618河北省,999.0,0.0,5,10,潜力用户
100684618河南省,999.0,0.0,1,7,新用户
100684618海南省,999.0,0.0,2,8,新用户
100684618湖北省,999.0,0.0,2,8,新用户
100684618湖南省,999.0,0.0,5,10,潜力用户
100684618澳门特别行政区,999.0,0.0,2,8,新用户
100684618甘肃省,999.0,0.0,3,9,新用户
100684618福建省,999.0,0.0,3,9,新用户
100684618西藏自治区,999.0,0.0,2,8,新用户
100684618贵州省,999.0,0.0,2,8,新用户
100684618辽宁省,3.0,1.0,7,14,高价值用户
100684618重庆市,999.0,0.0,1,7,新用户
100684618陕西省,999.0,0.0,4,9,新用户
100684618青海省,999.0,0.0,3,9,新用户
100684618香港特别行政区,999.0,0.0,2,8,新用户
100684618黑龙江省,999.0,0.0,4,9,新用户
101260672吉林省,999.0,0.0,1,7,新用户
101260672宁夏回族自治区,23.0,1.0,6,14,高价值用户
101260672山东省,999.0,0.0,1,7,新用户
101260672山西省,999.0,0.0,2,8,新用户
101260672广东省,999.0,0.0,1,7,新用户
101260672江苏省,999.0,0.0,1,7,新用户
101260672河南省,999.0,0.0,1,7,新用户
101260672海南省,999.0,0.0,2,8,新用户
101260672湖北省,999.0,0.0,1,7,新用户
101260672湖南省,999.0,0.0,1,7,新用户
101260672澳门特别行政区,999.0,0.0,1,7,新用户
101260672甘肃省,999.0,0.0,1,7,新用户
101260672福建省,999.0,0.0,2,8,新用户
101260672青海省,999.0,0.0,1,7,新用户
101260672香港特别行政区,999.0,0.0,2,8,新用户
10131505上海市,999.0,0.0,3,9,新用户
10131505云南省,999.0,0.0,1,7,新用户
10131505台湾省,999.0,0.0,2,8,新用户
10131505吉林省,999.0,0.0,2,8,新用户
10131505天津市,999.0,0.0,2,8,新用户
10131505宁夏回族自治区,999.0,0.0,1,7,新用户
10131505安徽省,999.0,0.0,1,7,新用户
10131505山东省,999.0,0.0,1,7,新用户
10131505广东省,999.0,0.0,1,7,新用户
10131505广西壮族自治区,999.0,0.0,1,7,新用户
10131505新疆维吾尔自治区,999.0,0.0,1,7,新用户
10131505江西省,999.0,0.0,2,8,新用户
10131505河北省,999.0,0.0,1,7,新用户
10131505浙江省,29.0,1.0,10,15,高价值用户
10131505海南省,999.0,0.0,1,7,新用户
10131505湖南省,999.0,0.0,2,8,新用户
10131505甘肃省,999.0,0.0,1,7,新用户
10131505福建省,999.0,0.0,2,8,新用户
10131505西藏自治区,999.0,0.0,2,8,新用户
10131505贵州省,999.0,0.0,1,7,新用户
10131505辽宁省,999.0,0.0,1,7,新用户
10131505重庆市,999.0,0.0,3,9,新用户
10131505陕西省,999.0,0.0,1,7,新用户
10131505青海省,999.0,0.0,1,7,新用户
10131505香港特别行政区,999.0,0.0,3,9,新用户
101781721上海市,999.0,0.0,3,9,新用户
101781721内蒙古自治区,999.0,0.0,1,7,新用户
101781721吉林省,999.0,0.0,4,9,新用户
101781721四川省,999.0,0.0,4,9,新用户
101781721天津市,999.0,0.0,1,7,新用户
101781721宁夏回族自治区,999.0,0.0,1,7,新用户
101781721安徽省,999.0,0.0,2,8,新用户
101781721山东省,999.0,0.0,2,8,新用户
101781721广东省,999.0,0.0,1,7,新用户
101781721广西壮族自治区,999.0,0.0,2,8,新用户
101781721新疆维吾尔自治区,999.0,0.0,6,10,潜力用户
101781721江苏省,999.0,0.0,2,8,新用户
101781721江西省,999.0,0.0,1,7,新用户
101781721河北省,999.0,0.0,2,8,新用户
101781721河南省,999.0,0.0,4,9,新用户
101781721浙江省,999.0,0.0,1,7,新用户
101781721海南省,999.0,0.0,1,7,新用户
101781721甘肃省,999.0,0.0,1,7,新用户
101781721福建省,999.0,0.0,2,8,新用户
101781721西藏自治区,999.0,0.0,2,8,新用户
101781721辽宁省,999.0,0.0,2,8,新用户
101781721重庆市,999.0,0.0,1,7,新用户
101781721陕西省,999.0,0.0,1,7,新用户
103582986上海市,999.0,0.0,2,8,新用户
103582986云南省,999.0,0.0,5,10,潜力用户
103582986内蒙古自治区,999.0,0.0,10,11,潜力用户
103582986北京市,999.0,0.0,9,11,潜力用户
103582986台湾省,999.0,0.0,3,9,新用户
103582986吉林省,999.0,0.0,4,9,新用户
103582986四川省,999.0,0.0,1,7,新用户
103582986天津市,999.0,0.0,3,9,新用户
103582986宁夏回族自治区,999.0,0.0,2,8,新用户
103582986安徽省,999.0,0.0,10,11,潜力用户
103582986山东省,999.0,0.0,10,11,潜力用户
103582986山西省,999.0,0.0,8,11,潜力用户
103582986广东省,999.0,0.0,3,9,新用户
103582986广西壮族自治区,999.0,0.0,3,9,新用户
103582986新疆维吾尔自治区,999.0,0.0,6,10,潜力用户
103582986江苏省,999.0,0.0,7,10,潜力用户
103582986江西省,999.0,0.0,3,9,新用户
103582986河北省,999.0,0.0,9,11,潜力用户
103582986河南省,999.0,0.0,8,11,潜力用户
103582986浙江省,999.0,0.0,6,10,潜力用户
103582986海南省,999.0,0.0,1,7,新用户
103582986湖北省,999.0,0.0,6,10,潜力用户
103582986湖南省,999.0,0.0,11,11,潜力用户
103582986澳门特别行政区,999.0,0.0,3,9,新用户
103582986甘肃省,999.0,0.0,7,10,潜力用户
103582986福建省,999.0,0.0,5,10,潜力用户
103582986西藏自治区,999.0,0.0,4,9,新用户
103582986贵州省,999.0,0.0,5,10,潜力用户
103582986辽宁省,999.0,0.0,10,11,潜力用户
103582986重庆市,999.0,0.0,6,10,潜力用户
103582986陕西省,999.0,0.0,4,9,新用户
103582986青海省,999.0,0.0,6,10,潜力用户
103582986香港特别行政区,999.0,0.0,9,11,潜力用户
103582986黑龙江省,999.0,0.0,9,11,潜力用户
103802946上海市,999.0,0.0,4,9,新用户
103802946云南省,999.0,0.0,7,10,潜力用户
103802946内蒙古自治区,999.0,0.0,3,9,新用户
103802946北京市,999.0,0.0,2,8,新用户
103802946台湾省,999.0,0.0,2,8,新用户
103802946四川省,999.0,0.0,5,10,潜力用户
103802946天津市,999.0,0.0,6,10,潜力用户
103802946宁夏回族自治区,999.0,0.0,3,9,新用户
103802946安徽省,999.0,0.0,5,10,潜力用户
103802946山东省,999.0,0.0,2,8,新用户
103802946山西省,2.0,1.0,9,15,高价值用户
103802946广东省,999.0,0.0,4,9,新用户
103802946广西壮族自治区,999.0,0.0,2,8,新用户
103802946新疆维吾尔自治区,999.0,0.0,2,8,新用户
103802946江苏省,999.0,0.0,7,10,潜力用户
103802946江西省,999.0,0.0,3,9,新用户
103802946河北省,999.0,0.0,5,10,潜力用户
103802946河南省,999.0,0.0,3,9,新用户
103802946浙江省,999.0,0.0,2,8,新用户
103802946海南省,999.0,0.0,4,9,新用户
103802946湖北省,999.0,0.0,1,7,新用户
103802946湖南省,999.0,0.0,3,9,新用户
103802946澳门特别行政区,999.0,0.0,4,9,新用户
103802946甘肃省,999.0,0.0,3,9,新用户
103802946福建省,999.0,0.0,2,8,新用户
103802946西藏自治区,999.0,0.0,5,10,潜力用户
103802946贵州省,6.0,1.0,12,15,高价值用户
103802946辽宁省,999.0,0.0,1,7,新用户
103802946重庆市,999.0,0.0,1,7,新用户
103802946陕西省,999.0,0.0,6,10,潜力用户
103802946青海省,999.0,0.0,2,8,新用户
103802946香港特别行政区,999.0,0.0,4,9,新用户
103802946黑龙江省,999.0,0.0,4,9,新用户
103891828上海市,999.0,0.0,3,9,新用户
103891828云南省,999.0,0.0,1,7,新用户
103891828内蒙古自治区,999.0,0.0,4,9,新用户
103891828北京市,999.0,0.0,9,11,潜力用户
103891828台湾省,24.0,1.0,9,15,高价值用户
103891828吉林省,999.0,0.0,7,10,潜力用户
103891828四川省,999.0,0.0,9,11,潜力用户
103891828天津市,999.0,0.0,5,10,潜力用户
103891828宁夏回族自治区,999.0,0.0,3,9,新用户
103891828安徽省,6.0,1.0,10,15,高价值用户
103891828山东省,999.0,0.0,5,10,潜力用户
103891828山西省,999.0,0.0,4,9,新用户
103891828广东省,999.0,0.0,5,10,潜力用户
103891828广西壮族自治区,999.0,0.0,6,10,潜力用户
103891828新疆维吾尔自治区,24.0,1.0,11,15,高价值用户
